station_european_code	component_code	component_caption	component_name	component_FWD	measurement_european_group_code	measurement_unit	measurement_group_start_date	measurement_group_end_date	measurement_latest_AIRBASE	measurement_european_code	measurement_start_date	measurement_end_date	measurement_automatic	measurement_technique_principle	measurement_equipment	integration_time_frequency	calibration_unit	height_sampling_point	length_sampling_line	location_sampling_point	sampling_time	sampling_time_unit	calibration_frequency	integration_time_unit	calibration_method	calibration_description
RO0113A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0113A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	unknown	
RO0113A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0113A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0113A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0113A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2009-01-01		2009-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0113A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0114A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0114A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0114A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0114A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0114A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01			100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0114A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0114A	20	C6H6	Benzene (air)	yes	100	µg/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0114A	6001	PM2.5	Particulate matter < 2.5 µm (aerosol)	yes	100	µg/m3	2009-01-01		2009-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0115A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0115A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0115A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0115A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0115A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0115A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2009-01-01		2009-12-31	100	2009-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0115A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
RO0115A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0116A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0116A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0116A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0116A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0116A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0116A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0117A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0117A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0117A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0117A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0117A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01			100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0117A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0117A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0112A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0112A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0112A	7	O3	Ozone (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0112A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0112A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0112A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0112A	20	C6H6	Benzene (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0112A	6001	PM2.5	Particulate matter < 2.5 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0118A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0118A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0118A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0118A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0118A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0118A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
RO0118A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0118A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0118A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0119A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0119A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0119A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0119A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0119A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0119A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0119A	20	C6H6	Benzene (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0119A	6001	PM2.5	Particulate matter < 2.5 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0120A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0120A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0120A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0120A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0120A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0120A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0120A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0120A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0120A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0120A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0121A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0121A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0121A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0121A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0121A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0121A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0121A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
RO0121A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0121A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0121A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0122A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0122A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0122A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0122A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0122A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01			100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0122A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0122A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0123A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0123A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2008-01-01		2008-12-31	100	2008-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0123A	7	O3	Ozone (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0123A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0123A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0123A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0123A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0123A	6001	PM2.5	Particulate matter < 2.5 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0073A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0073A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0073A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2006-01-01		2006-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0073A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2006-01-01		2006-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0073A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0073A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
RO0073A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2006-01-01		2010-12-31	100	2006-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
RO0073A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2006-01-01		2010-12-31	100	2006-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
RO0073A	20	C6H6	Benzene (air)	yes	100	µg/m3	2006-01-01		2006-12-31	100	2006-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0074A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2006-01-01		2008-12-31	100	2006-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0074A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2007-01-01		2007-12-31	100	2007-01-01		no	gravimetry	Sentinel	1	month	4	2	roof	0		6	day	flow rate check	
RO0074A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2006-01-01		2007-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour		
RO0074A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2006-01-01		2007-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0074A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2006-01-01			100	2006-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0074A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2007-01-01		2007-12-31	100	2007-01-01		no	atomic absorption spectrometry	thermo	1	day	4	2	roof	0		1	day	standard solution	
RO0074A	20	C6H6	Benzene (air)	yes	100	µg/m3	2006-01-01		2007-12-31	100	2006-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	0	0		0		3	hour	compressed gases	
RO0074A	6001	PM2.5	Particulate matter < 2.5 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	gravimetry	UNKNOWN	1		4	2	roof	0			day		
RO0075A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	UV fluorescence	ORION	1	hour	4	2	roof	0		4	hour	compressed gases	
RO0075A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2007-01-01		2010-12-31	100	2007-01-01		no	gravimetry	Sentinel	1	week	4	2	roof	0		6	day	flow rate check	
RO0075A	7	O3	Ozone (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0075A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour		
RO0075A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0075A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	HORIBA APMA350E	1	month	4	2	roof	0		4	hour	compressed gases	
RO0075A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2007-01-01		2010-12-31	100	2007-01-01		no	atomic absorption spectrometry	thermo	1	day	4	2		0		1	day	standard solution	
RO0075A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2006-01-01		2010-12-31	100	2006-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
RO0075A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2006-01-01		2010-12-31	100	2006-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
RO0076A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0076A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2006-01-01		2009-12-31	100	2006-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0076A	7	O3	Ozone (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0076A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0076A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0077A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0077A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2007-01-01		2007-12-31	100	2007-01-01		no	gravimetry	Sentinel	1	month	4	2	roof	0		6	day	flow rate check	
RO0077A	7	O3	Ozone (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0077A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0077A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0077A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2006-01-01		2010-12-31	100	2006-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0077A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2007-01-01		2010-12-31	100	2007-01-01		no	atomic absorption spectrometry	thermo	1	day	4	2	roof	0		1	day	standard solution	
RO0077A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2006-01-01		2010-12-31	100	2006-01-01		no	Atomic absorption spectrophotometry	Filter sample	1	month	4	2	roof	0		3	day	flow rate check	
